,Context,Baseline
436,False,False
437,True,False
438,False,False
439,False,False
440,False,True
441,True,False
442,True,True
443,True,True
444,False,False
445,True,True
446,True,True
447,False,False
448,False,False
449,False,False
450,False,False
451,False,False
452,True,True
453,False,False
454,True,False
455,False,False
456,False,False
457,False,False
458,True,False
459,False,False
460,True,True
461,False,False
462,False,False
463,True,True
464,False,False
465,False,False
466,True,True
467,True,True
468,True,True
469,True,True
470,True,True
471,False,False
472,False,False
473,False,False
474,True,False
475,True,True
476,False,False
477,False,False
478,False,False
479,True,True
480,False,False
481,False,False
482,False,False
483,False,False
484,False,False
485,False,False
486,False,False
487,False,False
488,False,False
489,False,False
490,False,False
491,False,False
492,False,False
493,True,False
494,True,True
495,False,False
496,True,True
497,False,False
498,True,True
499,True,True
500,False,False
501,False,True
502,True,True
503,False,False
504,False,False
505,True,False
506,False,False
507,False,False
508,True,True
509,True,False
510,False,False
511,False,False
512,True,True
513,False,False
514,True,True
515,False,False
516,False,True
517,True,True
518,False,False
519,False,False
520,False,False
521,False,False
522,True,True
523,False,False
524,False,False
525,False,False
526,False,False
527,False,False
528,True,True
529,False,False
530,True,False
531,False,False
532,False,False
533,True,True
534,True,True
535,False,False
536,True,True
537,False,False
538,True,True
539,True,True
540,True,True
541,True,True
542,True,True
543,False,False
544,False,False
545,False,False
546,False,False
547,False,False
548,False,False
549,True,True
550,False,False
551,False,False
552,False,False
553,False,False
554,False,False
555,False,False
556,False,False
557,False,False
558,False,False
559,False,False
560,True,False
561,True,False
562,False,False
563,True,False
564,False,False
565,False,False
566,True,True
567,False,False
568,True,True
569,True,True
570,True,True
571,True,False
572,True,False
573,True,True
574,False,False
575,False,False
576,False,False
577,True,True
578,True,False
579,False,False
580,False,False
581,False,False
582,False,False
583,True,False
584,False,False
585,True,False
586,True,True
587,False,False
588,False,False
589,False,False
590,False,False
591,False,False
592,False,False
593,False,False
594,False,False
595,False,False
596,True,True
597,False,False
598,False,False
599,True,True
600,True,True
601,False,False
602,False,False
603,False,False
604,False,False
605,False,False
606,True,True
607,False,False
608,False,False
609,False,False
610,False,False
611,False,False
612,False,False
613,True,True
614,True,True
615,False,False
616,False,False
617,False,False
618,False,False
619,False,False
620,False,False
621,False,False
622,False,False
623,False,False
624,True,False
625,False,False
626,False,False
627,False,False
628,False,False
629,False,False
630,True,True
631,True,True
632,True,False
633,False,False
634,True,True
635,False,False
636,False,False
637,True,False
638,False,False
639,False,False
640,False,False
641,False,False
642,False,False
643,True,True
644,True,True
645,True,True
646,False,False
647,False,False
648,False,False
649,True,False
650,False,False
651,True,True
652,True,True
653,False,False
654,False,False
655,True,True
656,False,False
657,False,False
658,True,False
659,True,True
660,False,False
661,False,False
662,False,False
663,True,True
664,False,False
665,False,False
666,True,True
667,True,True
668,True,True
669,False,False
670,False,False
671,False,False
672,True,True
673,False,False
674,False,False
675,False,False
676,False,False
677,False,False
678,False,False
679,False,False
680,False,False
681,True,True
682,False,False
683,True,True
684,False,False
685,True,False
686,True,True
687,False,False
688,False,True
689,False,False
690,False,False
691,False,False
692,True,True
693,False,False
694,False,False
695,True,True
696,False,False
697,False,False
698,True,True
699,False,False
700,False,False
701,False,False
702,False,False
703,False,False
704,False,False
705,True,False
706,True,True
707,True,True
708,False,False
709,False,False
710,False,False
711,False,False
712,False,False
713,False,False
714,False,False
715,False,False
716,False,False
717,False,False
718,True,False
719,False,False
720,False,False
721,False,False
722,False,False
723,False,False
724,True,False
725,True,True
726,False,False
727,False,False
728,False,False
729,True,False
730,True,False
731,False,False
732,True,True
733,True,True
734,False,True
735,False,False
736,False,False
737,False,False
738,True,True
739,True,True
740,True,True
741,True,True
742,True,True
743,False,False
744,False,False
745,True,True
746,True,False
747,True,True
748,True,True
749,True,True
750,False,False
751,True,True
752,False,False
753,False,False
754,True,True
755,True,True
756,False,False
757,True,False
758,False,False
759,False,False
760,True,True
761,True,True
762,False,False
763,False,False
764,False,False
765,False,False
766,True,True
767,False,False
768,False,False
769,True,True
770,True,True
771,False,False
772,False,False
773,False,False
774,False,True
775,True,True
776,True,True
777,False,False
778,True,False
779,False,False
780,False,False
781,False,False
782,True,True
783,False,False
784,False,False
785,False,True
786,False,False
787,False,False
788,False,False
789,False,False
790,True,True
791,True,True
792,True,True
793,True,True
794,True,True
795,True,True
796,True,True
797,False,False
798,False,False
799,True,True
800,True,False
801,True,False
802,False,False
803,False,False
804,False,False
805,True,True
806,True,True
807,True,True
808,True,True
809,True,False
810,True,True
811,True,True
812,True,True
813,False,False
814,False,False
815,False,False
816,False,False
817,False,False
818,False,False
819,True,False
820,False,False
821,False,False
822,False,False
823,True,True
824,True,True
825,False,False
826,False,False
827,False,False
828,True,True
829,True,False
830,False,False
831,False,False
832,False,False
833,False,False
834,False,False
835,True,True
836,True,True
837,False,False
838,True,True
839,True,True
840,True,True
841,False,False
842,False,False
843,False,False
844,False,False
845,False,False
846,False,False
847,True,True
848,False,False
849,False,False
850,False,False
851,False,False
852,False,False
853,True,True
854,True,True
855,True,True
856,True,False
857,True,True
858,True,False
859,True,False
860,True,True
861,True,True
862,False,True
863,True,False
864,True,True
865,True,False
866,True,True
867,False,False
868,False,False
869,False,False
870,True,True
871,False,False
872,True,True
873,False,False
874,True,True
875,True,True
876,False,False
877,True,True
878,False,False
879,False,False
880,True,True
881,True,True
882,True,True
883,True,False
884,True,True
885,False,False
886,False,False
887,True,False
888,False,False
889,False,False
890,False,False
891,False,False
892,False,False
893,False,False
894,False,False
895,False,False
896,False,False
897,True,False
898,False,False
899,False,True
900,False,False
901,False,False
902,True,True
903,True,False
904,True,True
905,False,False
906,True,True
907,False,False
908,True,True
909,True,True
910,False,False
911,True,True
912,False,False
913,True,False
914,True,True
915,True,True
916,False,False
917,False,False
918,True,False
919,False,False
920,False,False
921,False,False
922,False,False
923,True,True
924,False,False
925,True,True
926,True,True
927,True,True
928,False,False
929,False,False
930,False,False
931,False,True
932,False,False
933,False,False
934,False,False
935,False,False
936,False,False
937,True,False
938,False,False
939,False,False
940,False,False
941,False,False
942,False,False
943,False,False
944,True,False
945,False,False
946,False,False
947,False,False
948,True,False
949,False,False
950,False,False
951,False,False
952,False,False
953,False,False
954,True,True
955,True,False
956,True,True
957,False,True
958,True,True
959,False,False
960,True,False
961,True,False
962,True,True
963,True,True
964,False,False
965,False,False
966,False,False
967,False,False
968,False,False
969,True,False
970,False,False
971,False,False
972,True,False
973,False,False
974,False,False
975,False,False
976,False,False
977,True,True
978,False,False
979,False,False
980,False,False
981,True,True
982,False,False
983,False,False
984,False,False
985,False,False
986,False,False
987,False,False
988,False,False
989,False,False
990,False,False
991,True,True
992,False,False
993,False,False
994,False,False
995,False,False
996,True,True
997,True,True
998,True,True
999,True,True
1000,False,False
1001,False,False
1002,False,False
1003,False,False
1004,False,False
1005,True,True
1006,True,True
1007,False,False
1008,True,True
1009,True,True
1010,True,True
1011,True,True
1012,False,False
1013,True,True
1014,True,True
1015,True,True
1016,False,False
1017,False,False
1018,False,False
1019,False,False
1020,False,False
1021,True,True
1022,False,False
1023,False,False
1024,False,False
1025,False,False
1026,True,True
1027,True,True
1028,False,False
1029,False,False
1030,True,True
1031,False,False
1032,True,True
1033,True,True
1034,True,True
1035,True,True
1036,True,True
1037,True,True
1038,True,True
1039,True,True
1040,False,True
1041,True,True
1042,False,False
1043,False,False
1044,True,True
1045,True,True
1046,True,True
1047,True,True
1048,True,True
1049,True,True
1050,True,True
1051,True,True
1052,True,True
1053,True,True
1054,True,True
1055,True,True
1056,True,True
1057,True,False
1058,True,True
1059,False,False
1060,False,False
1061,True,True
1062,False,False
1063,True,True
1064,True,True
1065,True,True
1066,True,True
1067,True,True
1068,False,False
1069,True,True
1070,False,False
1071,True,True
1072,True,False
1073,False,False
1074,False,False
1075,True,True
1076,True,True
1077,False,False
1078,False,False
1079,True,False
1080,True,True
1081,True,True
1082,False,False
1083,True,True
1084,False,False
1085,False,False
1086,True,True
1087,False,False
1088,True,True
1089,True,False
1090,False,False
1091,False,False
1092,False,False
1093,False,False
1094,False,False
1095,True,False
1096,True,True
1097,True,True
1098,True,True
1099,False,False
1100,False,False
1101,False,False
1102,False,False
1103,False,False
1104,False,False
1105,False,False
1106,False,False
1107,False,False
1108,False,False
1109,True,True
1110,False,False
1111,False,False
1112,False,False
1113,True,True
1114,True,False
1115,False,False
1116,False,False
1117,False,False
1118,False,False
1119,True,False
1120,False,False
1121,False,False
1122,True,True
1123,False,False
1124,False,False
1125,True,True
1126,False,False
1127,False,False
1128,False,False
1129,False,False
1130,False,False
1131,True,True
1132,False,False
1133,False,False
1134,False,False
1135,False,False
1136,False,False
1137,True,False
1138,False,False
1139,True,True
1140,True,True
1141,False,False
1142,False,False
1143,False,False
1144,False,False
1145,False,False
1146,False,False
1147,False,False
1148,False,False
1149,False,False
1150,True,True
1151,True,True
1152,False,False
1153,False,False
1154,False,False
1155,True,False
1156,False,False
1157,False,False
1158,True,False
1159,True,True
1160,True,True
1161,True,True
1162,True,True
1163,True,True
1164,True,True
1165,False,False
1166,False,False
1167,True,True
1168,True,True
1169,True,True
1170,False,False
1171,False,False
1172,True,False
1173,False,False
1174,False,False
1175,True,True
1176,False,False
1177,False,False
1178,True,True
1179,False,False
1180,True,True
1181,True,False
1182,False,False
1183,True,True
1184,True,False
1185,False,False
1186,False,False
1187,False,False
1188,False,False
1189,False,False
1190,True,False
1191,True,True
1192,False,False
1193,False,False
1194,False,False
1195,False,False
1196,False,False
1197,False,False
1198,False,False
1199,False,False
1200,False,False
1201,False,False
1202,True,True
1203,False,False
1204,True,True
1205,False,False
1206,False,False
1207,False,False
1208,False,False
1209,True,True
1210,False,False
1211,False,False
1212,False,False
1213,False,False
1214,True,True
1215,False,False
1216,False,False
1217,True,True
1218,False,False
1219,False,False
1220,False,False
1221,False,False
1222,True,True
1223,True,True
1224,False,False
1225,False,False
1226,False,False
1227,True,True
1228,True,False
1229,False,True
1230,False,False
1231,False,False
1232,False,False
1233,False,False
1234,False,False
1235,False,False
1236,False,False
1237,False,False
1238,False,False
1239,True,False
1240,True,False
1241,False,True
1242,True,False
1243,False,False
1244,True,True
1245,False,False
1246,True,True
1247,False,False
1248,False,False
1249,True,True
1250,False,False
1251,False,False
1252,False,False
1253,False,False
1254,False,False
1255,True,True
1256,False,False
1257,True,True
1258,False,False
1259,False,False
1260,False,False
1261,True,True
1262,False,False
1263,False,False
1264,False,False
1265,True,False
1266,True,False
1267,False,False
1268,True,True
1269,True,False
1270,True,True
1271,False,False
1272,False,False
1273,False,False
1274,False,False
1275,True,True
1276,False,True
1277,True,True
1278,True,True
1279,True,True
1280,False,False
1281,False,False
1282,False,False
1283,False,False
1284,False,False
1285,False,False
1286,False,False
1287,False,False
1288,False,False
1289,False,False
1290,False,False
1291,True,True
1292,True,False
1293,True,True
1294,True,True
1295,False,False
1296,False,False
1297,False,False
1298,True,False
1299,False,False
1300,False,False
1301,False,False
1302,False,False
1303,False,False
1304,False,False
1305,False,False
1306,False,False
1307,False,False
1308,False,False
1309,False,False
1310,False,False
1311,False,False
1312,False,False
1313,True,True
1314,True,True
1315,False,False
1316,False,False
1317,False,False
1318,False,False
1319,False,False
1320,False,False
1321,False,False
1322,True,True
1323,True,True
1324,True,True
1325,False,False
1326,False,False
1327,False,False
1328,False,False
1329,False,False
1330,False,False
1331,False,False
1332,True,True
1333,False,False
1334,True,True
1335,False,False
1336,True,True
1337,False,False
1338,False,False
1339,True,True
1340,False,False
1341,True,True
1342,False,False
1343,False,False
1344,False,False
1345,False,False
1346,True,True
1347,False,False
1348,False,False
1349,False,False
1350,True,True
1351,True,True
1352,True,True
1353,False,False
1354,True,True
1355,False,False
1356,False,False
1357,False,False
1358,False,False
1359,False,False
1360,True,True
1361,True,True
1362,False,False
1363,False,False
1364,False,False
1365,False,False
1366,True,True
1367,True,True
1368,True,True
1369,True,True
1370,True,True
1371,False,False
1372,True,False
1373,True,True
1374,False,False
1375,False,False
1376,False,False
1377,True,True
1378,True,True
1379,False,False
1380,False,False
1381,True,True
1382,True,False
1383,True,True
1384,False,False
1385,True,True
1386,False,False
1387,False,False
1388,True,True
1389,True,False
1390,False,False
1391,False,False
1392,False,False
1393,False,False
1394,True,True
1395,True,True
1396,False,False
1397,True,True
1398,True,True
1399,False,False
1400,True,True
1401,False,False
1402,False,False
1403,False,False
1404,False,False
1405,True,True
1406,True,True
1407,False,False
1408,False,False
1409,False,False
1410,False,False
1411,False,False
1412,False,False
1413,False,False
1414,False,False
1415,False,False
1416,False,False
1417,False,False
1418,False,False
1419,False,False
1420,False,False
1421,False,False
1422,False,False
1423,False,False
1424,False,False
1425,False,False
1426,False,False
1427,False,False
1428,False,False
1429,False,False
1430,False,False
1431,False,False
1432,False,False
1433,False,False
1434,False,False
1435,False,False
1436,False,False
1437,True,True
1438,True,True
1439,True,False
1440,False,False
1441,False,False
1442,True,False
1443,False,False
1444,True,True
1445,True,True
1446,False,False
1447,False,False
1448,False,False
1449,True,False
1450,False,False
1451,False,False
1452,False,False
1453,False,False
1454,False,False
1455,False,False
1456,False,False
1457,False,False
1458,True,False
1459,True,True
1460,False,False
1461,False,False
1462,True,True
1463,True,True
1464,True,True
1465,True,False
1466,True,True
1467,False,False
1468,True,True
1469,True,True
1470,False,False
1471,False,False
1472,False,False
1473,False,False
1474,False,False
1475,False,False
1476,True,True
1477,True,True
1478,False,False
1479,False,False
1480,True,True
1481,False,False
1482,False,False
1483,True,True
1484,True,True
1485,True,True
1486,False,False
1487,False,False
1488,False,False
1489,True,True
1490,False,False
1491,False,False
1492,False,False
1493,True,True
1494,True,True
1495,True,True
1496,True,True
1497,True,False
1498,False,False
1499,True,True
1500,True,True
1501,True,False
1502,False,False
1503,True,True
1504,False,False
1505,False,False
1506,False,False
1507,False,False
1508,True,False
1509,False,False
1510,False,False
1511,True,True
1512,False,False
1513,True,True
1514,False,False
1515,False,False
1516,False,False
1517,False,False
1518,False,False
1519,False,False
1520,False,False
1521,False,False
1522,False,False
1523,True,False
1524,False,False
1525,False,False
1526,True,True
1527,True,True
1528,True,True
1529,False,False
1530,True,True
1531,True,True
1532,False,False
1533,True,True
1534,True,True
1535,True,False
1536,False,False
1537,False,False
1538,False,False
1539,False,False
1540,False,False
1541,False,False
1542,False,False
1543,False,False
1544,True,True
1545,False,False
1546,False,False
1547,False,False
1548,True,True
1549,False,False
1550,True,True
1551,True,True
1552,True,True
1553,True,True
1554,False,False
1555,False,False
1556,False,False
1557,False,False
1558,True,True
1559,False,False
1560,False,False
1561,False,False
1562,False,False
1563,False,False
1564,False,False
1565,False,False
1566,False,False
1567,False,False
1568,False,False
1569,False,False
1570,False,False
1571,True,True
1572,True,True
1573,False,False
1574,False,False
1575,True,True
1576,True,True
1577,True,True
1578,True,True
1579,True,False
1580,True,True
1581,True,True
1582,True,True
1583,True,True
1584,False,False
1585,True,True
1586,False,False
1587,False,False
1588,False,False
1589,False,False
1590,True,True
1591,False,False
1592,True,False
1593,False,False
1594,False,False
1595,False,False
1596,False,False
1597,False,False
1598,True,True
1599,False,False
1600,False,False
1601,False,False
1602,False,False
1603,False,False
1604,True,False
1605,True,True
1606,True,True
1607,True,True
1608,False,False
1609,False,False
1610,False,False
1611,True,True
1612,False,False
1613,False,False
1614,False,False
1615,False,False
1616,False,False
1617,True,False
1618,False,False
1619,False,False
1620,True,True
1621,True,True
1622,True,True
1623,True,True
1624,False,False
1625,False,False
1626,False,False
1627,False,False
1628,False,False
1629,True,True
1630,False,False
1631,True,False
1632,True,True
1633,True,False
1634,True,True
1635,True,True
1636,True,True
1637,True,False
1638,False,False
1639,False,False
1640,False,False
1641,False,False
1642,False,False
1643,False,False
1644,True,True
1645,False,False
1646,False,False
1647,True,True
1648,False,False
1649,False,False
1650,True,False
1651,False,False
1652,False,False
1653,False,False
1654,True,True
1655,True,True
1656,False,False
1657,True,True
1658,False,False
1659,False,False
1660,True,True
1661,True,True
1662,True,True
1663,False,False
1664,False,False
1665,True,True
1666,False,False
1667,False,False
1668,True,True
1669,True,True
1670,False,False
1671,True,False
1672,False,False
1673,False,False
1674,False,False
1675,False,False
1676,False,False
1677,False,False
1678,False,False
1679,False,False
1680,False,False
1681,False,False
1682,False,False
1683,False,False
1684,True,True
1685,False,False
1686,True,True
1687,False,False
1688,False,False
1689,False,False
1690,False,False
1691,False,False
1692,False,False
1693,True,False
1694,False,False
1695,True,True
1696,True,True
1697,True,True
1698,False,False
1699,False,False
1700,False,False
1701,False,False
1702,False,False
1703,False,False
1704,True,True
1705,False,False
1706,True,True
1707,True,False
1708,True,True
1709,False,False
1710,True,True
1711,False,False
1712,True,True
1713,False,False
1714,False,False
1715,True,True
1716,False,False
1717,False,False
1718,False,False
1719,False,False
1720,False,False
1721,True,True
1722,False,False
1723,False,False
1724,False,False
1725,False,False
1726,False,False
1727,False,False
1728,False,False
1729,False,False
1730,False,False
1731,False,False
1732,False,False
1733,True,True
1734,True,True
1735,False,False
1736,False,False
1737,False,False
1738,False,False
1739,True,True
1740,False,False
1741,False,True
1742,False,False
1743,False,False
1744,True,False
1745,False,False
1746,False,False
1747,True,True
1748,True,False
1749,False,False
1750,True,True
1751,False,False
1752,False,False
1753,False,False
1754,False,False
1755,True,True
1756,True,False
1757,False,False
1758,False,False
1759,True,False
1760,True,True
1761,False,False
1762,False,False
1763,True,False
1764,False,False
1765,False,False
1766,False,False
1767,False,False
1768,False,False
1769,False,False
1770,True,True
1771,False,False
1772,False,False
1773,False,False
1774,True,False
1775,False,False
1776,False,False
1777,False,False
1778,True,True
1779,True,True
1780,True,True
1781,True,True
1782,True,False
1783,False,False
1784,False,False
1785,False,False
1786,False,False
1787,False,False
1788,False,False
1789,False,False
1790,False,False
1791,False,False
1792,False,False
1793,True,False
1794,True,True
1795,False,False
1796,True,True
1797,True,True
1798,False,False
1799,False,False
1800,True,True
1801,True,True
1802,True,True
1803,True,True
1804,False,False
1805,False,False
1806,True,False
1807,False,False
1808,False,False
1809,False,False
1810,False,False
1811,False,False
1812,False,False
1813,False,False
1814,False,False
1815,True,False
1816,True,True
1817,True,True
1818,False,False
1819,True,False
1820,True,True
1821,True,True
1822,False,False
1823,False,False
1824,True,True
1825,True,True
1826,True,True
1827,True,True
1828,True,True
1829,True,True
1830,True,True
1831,True,True
1832,True,True
1833,False,False
1834,False,False
1835,False,False
1836,False,False
1837,False,False
1838,True,True
1839,False,False
1840,False,False
1841,True,True
1842,True,True
1843,True,False
1844,True,True
1845,True,True
1846,True,True
1847,True,True
1848,False,False
1849,True,True
1850,True,True
1851,False,False
1852,True,False
1853,False,False
1854,False,False
1855,False,False
1856,False,False
1857,False,False
1858,False,False
1859,False,False
1860,False,False
1861,False,False
1862,False,False
1863,True,False
1864,False,False
1865,False,False
1866,True,True
1867,False,False
1868,True,True
1869,True,True
1870,True,True
1871,True,True
1872,False,False
1873,False,False
1874,False,False
1875,False,False
1876,False,False
1877,True,False
1878,False,False
1879,False,False
1880,False,False
1881,True,True
1882,True,True
1883,False,False
1884,False,False
1885,False,True
1886,True,False
1887,True,False
1888,False,False
1889,True,True
1890,True,True
1891,True,True
1892,True,True
1893,True,True
1894,True,True
1895,True,True
1896,True,True
1897,False,False
1898,False,False
1899,True,False
1900,True,False
1901,True,True
1902,False,False
1903,False,False
1904,False,False
1905,True,True
1906,True,True
1907,False,False
1908,False,False
1909,False,False
1910,True,True
1911,False,False
1912,False,False
1913,False,False
1914,False,False
1915,False,False
1916,False,False
1917,True,True
1918,False,False
1919,True,True
1920,False,False
1921,False,False
1922,True,True
1923,True,True
1924,True,True
1925,True,True
1926,True,True
1927,True,True
1928,True,True
1929,True,True
1930,True,True
1931,False,False
1932,False,False
1933,False,False
1934,False,False
1935,False,False
1936,False,False
1937,False,False
1938,True,True
1939,False,False
1940,False,False
1941,False,False
1942,False,False
1943,False,False
1944,True,False
1945,True,False
1946,False,False
1947,True,True
1948,False,False
1949,True,False
1950,False,False
1951,False,False
1952,False,False
1953,False,False
1954,False,False
1955,True,True
1956,True,True
1957,True,True
1958,True,True
1959,True,True
1960,True,False
1961,False,True
1962,True,True
1963,False,True
1964,True,True
1965,True,False
1966,False,False
1967,True,True
1968,True,True
1969,True,True
1970,False,False
1971,False,False
1972,False,False
1973,False,False
1974,False,False
1975,False,False
1976,False,False
1977,False,False
1978,True,True
1979,True,False
1980,True,True
1981,False,False
1982,False,True
1983,False,False
1984,False,False
1985,False,False
1986,False,False
1987,True,False
1988,False,False
1989,False,False
1990,False,False
1991,False,False
1992,False,False
1993,True,True
1994,False,False
1995,False,False
1996,False,False
1997,False,False
1998,True,False
1999,False,False
2000,True,True
2001,True,True
2002,False,False
2003,False,False
2004,False,False
2005,False,False
2006,False,False
2007,False,False
2008,False,False
2009,False,False
2010,True,True
2011,True,True
2012,False,False
2013,False,False
2014,True,False
2015,False,False
2016,False,False
2017,False,False
2018,True,True
2019,False,False
2020,True,False
2021,False,False
2022,False,False
2023,True,True
2024,False,False
2025,False,False
2026,False,False
2027,False,False
2028,False,False
2029,True,True
2030,False,False
2031,False,False
2032,False,False
2033,False,False
2034,False,False
2035,False,False
2036,False,False
2037,False,False
2038,False,False
2039,True,True
2040,True,True
2041,True,True
2042,True,True
2043,False,False
2044,False,False
2045,True,False
2046,True,True
2047,True,False
2048,False,False
2049,False,False
2050,False,False
2051,False,False
2052,False,False
2053,True,True
2054,False,False
2055,False,False
2056,True,True
2057,True,False
2058,True,True
2059,True,True
2060,False,False
2061,False,False
2062,True,False
2063,True,False
2064,False,False
2065,False,False
2066,True,True
2067,False,False
2068,False,False
2069,False,False
2070,False,False
2071,False,False
2072,False,False
2073,False,False
2074,False,False
2075,True,True
2076,False,False
2077,False,False
2078,False,False
2079,False,False
2080,False,False
2081,True,False
2082,True,True
2083,True,True
2084,True,True
2085,False,False
2086,False,False
2087,True,False
2088,True,True
2089,True,True
2090,False,False
2091,False,False
2092,False,False
2093,True,True
2094,False,False
2095,True,True
2096,True,True
2097,True,True
2098,False,False
2099,False,False
2100,False,False
2101,False,False
2102,False,False
2103,True,True
2104,False,False
2105,True,False
2106,False,False
2107,False,False
2108,False,False
2109,False,False
2110,True,False
2111,True,True
2112,True,False
2113,True,True
2114,True,True
2115,True,True
2116,False,False
2117,False,False
2118,False,False
2119,False,False
2120,False,False
2121,True,True
2122,False,False
2123,False,False
2124,False,False
2125,False,False
2126,False,False
2127,False,False
2128,False,False
2129,False,False
2130,False,True
2131,True,True
2132,True,True
2133,True,True
2134,False,False
2135,True,True
2136,False,False
2137,True,True
2138,True,True
2139,True,True
